category,image_auroc,pixel_auroc,image_pixel_auroc_gap,image_f1,pixel_f1,image_pixel_f1_gap
leather,1.0,0.987607717514038,0.012392282485962025,0.994535505771637,0.3433804810047149,0.651155024766922
tile,0.9956709742546082,0.9310380816459656,0.06463289260864258,0.976190447807312,0.5462066531181335,0.42998379468917847
cable,0.9921289682388306,0.9807322025299072,0.01139676570892334,0.96256685256958,0.6171160340309143,0.34545081853866566
bottle,1.0,0.9766333103179932,0.023366689682006836,0.9919999837875366,0.6560171246528625,0.3359828591346741
metal_nut,0.990713596343994,0.9828281998634338,0.007885396480560192,0.9732620120048524,0.8175395727157593,0.15572243928909313
