category,coreset_sampling_ratio,image_auroc,image_f1,pixel_auroc,pixel_f1,elapsed_seconds,memory_bank_embeddings,embedding_dimension,summary_path
leather,0.005,1.0,0.994535505771637,0.9872922897338867,0.3438301682472229,72.99046909995377,960,384,results/patchcore_coreset_experiment/leather/ratio_0p005/run_summary.json
leather,0.01,1.0,0.994535505771637,0.9878310561180115,0.34404268860816956,97.36601290013641,1920,384,results/patchcore_coreset_experiment/leather/ratio_0p01/run_summary.json
leather,0.05,1.0,0.994535505771637,0.9876659512519836,0.3455142080783844,369.44210959994234,9604,384,results/patchcore_coreset_experiment/leather/ratio_0p05/run_summary.json
